remake,original,remake_year,original_year,remake_budget,remake_boxoffice,original_budget,original_boxoffice,remake_budget_usd,remake_boxoffice_usd,original_budget_usd,original_boxoffice_usd,bx,by,ox,oy
Rudyard Kipling's The Jungle Book,The Jungle Book,1994,1967,30,70,4,378,30000000,70000000,4000000,378000000,0,15,0,15
101 Dalmatians,One Hundred and One Dalmatians,1996,1961,67,320.7,4,303,67000000,320700000,4000000,303000000,0,18,0,-10
102 Dalmatians,One Hundred and One Dalmatians,2000,1961,85,183.6,4,303,85000000,183600000,4000000,303000000,45,0,0,15
Alice in Wonderland,Alice in Wonderland,2010,1951,200,1025,3,2.4,200000000,1025000000,3000000,2400000,45,-10,-5,0
The Sorcerer's Apprentice,Fantasia,2010,1940,150,215.3,2.28,83.3,150000000,215300000,2280000,83300000,0,-5,0,-5
Maleficent,Sleeping Beauty,2014,1959,263,758.5,6,51.6,263000000,758500000,6000000,51600000,0,-5,0,-5
Cinderella,Cinderella,2014,1950,90,540.5,2.2,182,90000000,540500000,2200000,182000000,0,-5,0,-5
The Jungle Book,The Jungle Book,2016,1967,177,966.6,4,378,177000000,966600000,4000000,378000000,0,-5,0,-5
Alice Through the Looking Glass,Alice in Wonderland,2016,1951,170,299.5,3,2.4,170000000,299500000,3000000,2400000,50,15,-5,0
Beauty and the Beast,Beauty and the Beast,2017,1991,255,1226,25,424,255000000,1226000000,25000000,424000000,0,-5,-5,0
Dumbo,Dumbo,2019,1941,170,353.3,0.9,1.3,170000000,353300000,900000,1300000,0,-5,0,-5
Aladdin,Aladdin,2019,1992,183,1054,28,504.1,183000000,1054000000,28000000,504100000,0,-5,-5,0
The Lion King,The Lion King,2019,1994,260,1663,45,968.4,260000000,1663000000,45000000,968400000,0,-5,-5,-5
Maleficent: Mistress of Evil,Sleeping Beauty,2019,1959,186,492.2,6,51.6,186000000,492200000,6000000,51600000,50,15,55,0
Mulan,Mulan,2020,1998,200,69.9,90,304.3,200000000,69900000,90000000,304300000,0,-5,0,15
Cruella,One Hundred and One Dalmatians,2021,1961,200,233.5,4,303,200000000,233500000,4000000,303000000,0,-10,55,-5
Pinocchio,Pinocchio,2022,1940,150,1.1,2.6,164,150000000,1100000,2600000,164000000,0,-5,35,-10
The Little Mermaid,The Little Mermaid,2023,1989,240.2,569.6,40,235,240200000,569600000,40000000,235000000,0,-5,0,-5
