Entity,Code,Year,Value
APSCO,,2023,1
Algeria,DZA,2002,1
Angola,AGO,2017,1
Argentina,ARG,1990,1
Armenia,ARM,2022,1
Australia,AUS,1967,1
Azerbaijan,AZE,2013,1
Bangladesh,BGD,2017,1
Belarus,BLR,2012,1
Bhutan,BTN,2018,1
Bolivia,BOL,2013,1
Brazil,BRA,1985,1
Bulgaria,BGR,2017,1
Canada,CAN,1962,1
Chile,CHL,1995,1
China,CHN,1970,1
Colombia,COL,2007,1
Costa Rica,CRI,2018,1
Czechia,CZE,1978,1
Denmark,DNK,1999,1
Djibouti,DJI,2023,1
EUMETSAT,,1989,1
Egypt,EGY,1998,1
Estonia,EST,2013,1
Ethiopia,ETH,2019,1
Eutelsat,,1983,1
Finland,FIN,2017,1
Germany,DEU,1969,1
Ghana,GHA,2017,1
Greece,GRC,2003,1
Guatemala,GTM,2020,1
Hungary,HUN,2012,1
India,IND,1975,1
Indonesia,IDN,1976,1
Intelsat,,1965,1
Intersputnik,,1999,1
Iran,IRN,2005,1
Ireland,IRL,2023,1
Israel,ISR,1988,1
Japan,JPN,1970,1
Jordan,JOR,2018,1
Kazakhstan,KAZ,2006,1
Kenya,KEN,2018,1
Kuwait,KWT,2023,1
Laos,LAO,2015,1
Latvia,LVA,2017,1
Luxembourg,LUX,1988,1
Mauritius,MUS,2021,1
Moldova,MDA,2022,1
Monaco,MCO,2020,1
Mongolia,MNG,2017,1
Morocco,MAR,2001,1
NATO,,1970,1
Nepal,NPL,2019,1
Netherlands,NLD,1974,1
New Zealand,NZL,2018,1
Nigeria,NGA,2003,1
North Korea,PRK,2012,1
Norway,NOR,1997,1
Pakistan,PAK,1990,1
Papua New Guinea,PNG,2014,1
Paraguay,PRY,2021,1
Philippines,PHL,1997,1
Poland,POL,2012,1
Portugal,PRT,1993,1
Qatar,QAT,2018,1
RASCOM,,2007,1
Romania,ROU,2012,1
Rwanda,RWA,2021,1
Sea Launch,,1999,1
Singapore,SGP,1998,1
Slovakia,SVK,2017,1
South Africa,ZAF,1999,1
South Korea,KOR,1992,1
Spain,ESP,1974,1
Sri Lanka,LKA,2019,1
Sweden,SWE,1986,1
Switzerland,CHE,2009,1
Taiwan,TWN,1999,1
Thailand,THA,1993,1
Tunisia,TUN,2021,1
Turkey,TUR,1994,1
Turkmenistan,TKM,2015,1
Uganda,UGA,2022,1
Ukraine,UKR,1995,1
United Arab Emirates,ARE,2000,1
United Kingdom,GBR,1962,1
Uruguay,URY,2014,1
Vietnam,VNM,2008,1
Zimbabwe,ZWE,2022,1
Algeria,DZA,2010,2
Angola,AGO,2022,2
Arabsat,,1985,2
Australia,AUS,1970,2
Austria,AUT,2013,2
Azerbaijan,AZE,2014,2
Bangladesh,BGD,2018,2
Belarus,BLR,2016,2
Brazil,BRA,1986,2
Bulgaria,BGR,2018,2
Canada,CAN,1965,2
Chile,CHL,1998,2
China,CHN,1971,2
Colombia,COL,2018,2
Czechia,CZE,1989,2
EUMETSAT,,1991,2
Ecuador,ECU,2013,2
Egypt,EGY,2000,2
Estonia,EST,2019,2
European Union,,2014,2
Eutelsat,,1984,2
Germany,DEU,1970,2
Greece,GRC,2017,2
India,IND,1979,2
Indonesia,IDN,1977,2
Intelsat,,1966,2
Iran,IRN,2009,2
Israel,ISR,1990,2
Italy,ITA,1964,2
Kazakhstan,KAZ,2011,2
Lithuania,LTU,2014,2
Luxembourg,LUX,1991,2
Malaysia,MYS,1996,2
Mexico,MEX,1985,2
Morocco,MAR,2017,2
NATO,,1971,2
Netherlands,NLD,2008,2
New Zealand,NZL,2019,2
North Korea,PRK,2016,2
Norway,NOR,1998,2
Pakistan,PAK,2001,2
Papua New Guinea,PNG,2015,2
Peru,PER,2013,2
Philippines,PHL,2016,2
Poland,POL,2013,2
RASCOM,,2010,2
Russia,RUS,1957,2
Saudi Arabia,SAU,2000,2
Slovakia,SVK,2021,2
Slovenia,SVN,2020,2
South Africa,ZAF,2009,2
South Korea,KOR,1993,2
Spain,ESP,1992,2
Starsem,,2000,2
Switzerland,CHE,2010,2
Taiwan,TWN,2004,2
Thailand,THA,1994,2
Turkey,TUR,1996,2
United Arab Emirates,ARE,2003,2
United Kingdom,GBR,1964,2
Venezuela,VEN,2008,2
Arabsat,,1992,3
Austria,AUT,2017,3
Azerbaijan,AZE,2018,3
Belarus,BLR,2018,3
Belgium,BEL,2014,3
Brazil,BRA,1990,3
Bulgaria,BGR,2021,3
Canada,CAN,1969,3
Chile,CHL,2011,3
China,CHN,1974,3
Colombia,COL,2023,3
Czechia,CZE,1991,3
Denmark,DNK,2003,3
EUMETSAT,,1993,3
Egypt,EGY,2007,3
Estonia,EST,2020,3
Eutelsat,,1987,3
France,FRA,1965,3
Germany,DEU,1972,3
Greece,GRC,2019,3
Hungary,HUN,2019,3
India,IND,1980,3
Indonesia,IDN,1983,3
Inmarsat,,1976,3
Iran,IRN,2011,3
Israel,ISR,1995,3
Italy,ITA,1967,3
Japan,JPN,1971,3
Luxembourg,LUX,1993,3
Malaysia,MYS,2000,3
Mexico,MEX,1993,3
Morocco,MAR,2018,3
NATO,,1976,3
Nigeria,NGA,2011,3
North Korea,PRK,2023,3
Norway,NOR,2005,3
Pakistan,PAK,2011,3
Peru,PER,2014,3
Poland,POL,2014,3
Russia,RUS,1958,3
Saudi Arabia,SAU,2002,3
Singapore,SGP,2011,3
Slovenia,SVN,2022,3
South Africa,ZAF,2013,3
South Korea,KOR,1995,3
