artist,song,count
Eminem,The Kids,2
Ludacris,Coming 2 America,1
Weird Al Yankovic,You Make Me,1
Weird Al Yankovic,Waffle King,26
Weird Al Yankovic,Holiday Greetings 1987,1
T.I.,Bankhead,1
Beyoncé,Suga Mama,1
Weird Al Yankovic,Hardware Store,1
Beastie Boys,In A World Gone Mad,1
Sudden Death,Dead Rappers,2
Mac,"Murder, Murder, Kill, Kill",1
Lou Reed,The Original Wrapper,4
L.L. Cool J,How I'm Comin',1
Adrian Belew,Stop It,1
Lil' Mo,Club 2G,1
Haystak,Car Fulla White Boys,2
Goodie Mob,What It Ain't,1
Goodie Mob,The Dip,1
Goodie Mob,Soul Food,1
Gwar,Sammy,1
Jay-Z,Do it Again,3
L.L. Cool J,After School,1
L.L. Cool J,Clockin' G's,1
L.L. Cool J,How I'm Comin',1
Weird Al Yankovic,"Christmas Memories Of ""Weird Al"" Yankovic",1
Lauren Christy,Magazine,1
Nirvana,The End,4
Bloodhound Gang,Legend In My Spare Time,1
Bloodhound Gang,Going Nowhere Slow,1
Bloodhound Gang,The Bad Touch,1
